TICKET_URL; IMAGE_URL; DATE; TIME; DESC; VENUE
"https://www.parisjazzclub.net/en/67382/concert/2020/02/08/brother-d.blue-band";"https://www.parisjazzclub.net/medias/concerts/67382-brother-d.blue-band/images/brother-d.blue-band-lg.jpg?20200103154354";"8-02-2020";"21PM";"No description for this concert.";"Brother D.Blue Band"
"https://www.parisjazzclub.net/en/67399/concert/2020/02/09/wendy-lee-taylor-tribute-to-fred-astaire";"https://www.parisjazzclub.net/medias/concerts/67399-wendy-lee-taylor-tribute-to-fred-astaire/images/wendy-lee-taylor-tribute-to-fred-astaire-lg.jpg?20200103155701";"9-02-2020";"21PM";"No description for this concert.";"Wendy Lee Taylor « Tribute To Fred Astaire »"
"https://www.parisjazzclub.net/en/67400/concert/2020/02/10/wendy-lee-taylor-tribute-to-fred-astaire";"https://www.parisjazzclub.net/medias/concerts/67400-wendy-lee-taylor-tribute-to-fred-astaire/images/wendy-lee-taylor-tribute-to-fred-astaire-lg.jpg?20200103155714";"10-02-2020";"21PM";"No description for this concert.";"Wendy Lee Taylor « Tribute To Fred Astaire »"
"https://www.parisjazzclub.net/en/67383/concert/2020/02/11/dany-doriz-swing-band-hommage-a-lionel-hampton";"https://www.parisjazzclub.net/medias/concerts/67383-dany-doriz-swing-band-hommage-a-lionel-hampton/images/dany-doriz-swing-band-hommage-a-lionel-hampton-lg.jpg?20200103154441";"11-02-2020";"21PM";"No description for this concert.";"Dany Doriz Swing Band Hommage à Lionel Hampton "
"https://www.parisjazzclub.net/en/67384/concert/2020/02/12/dany-doriz-swing-band-hommage-a-lionel-hampton";"https://www.parisjazzclub.net/medias/concerts/67384-dany-doriz-swing-band-hommage-a-lionel-hampton/images/dany-doriz-swing-band-hommage-a-lionel-hampton-lg.jpg?20200103154453";"12-02-2020";"21PM";"No description for this concert.";"Dany Doriz Swing Band Hommage à Lionel Hampton "
"https://www.parisjazzclub.net/en/67385/concert/2020/02/13/jeff-hoffman-tribute-to-chuck-berry";"https://www.parisjazzclub.net/medias/concerts/67385-jeff-hoffman-tribute-to-chuck-berry/images/jeff-hoffman-tribute-to-chuck-berry-lg.jpg?20200103154746";"13-02-2020";"21PM";"No description for this concert.";"Jeff Hoffman Tribute To Chuck Berry"
"https://www.parisjazzclub.net/en/67386/concert/2020/02/14/jeff-hoffman-tribute-to-chuck-berry";"https://www.parisjazzclub.net/medias/concerts/67386-jeff-hoffman-tribute-to-chuck-berry/images/jeff-hoffman-tribute-to-chuck-berry-lg.jpg?20200103154730";"14-02-2020";"21PM";"No description for this concert.";"Jeff Hoffman Tribute To Chuck Berry"
"https://www.parisjazzclub.net/en/67387/concert/2020/02/15/jeff-hoffman-tribute-to-chuck-berry";"https://www.parisjazzclub.net/medias/concerts/67387-jeff-hoffman-tribute-to-chuck-berry/images/jeff-hoffman-tribute-to-chuck-berry-lg.jpg?20200103154757";"15-02-2020";"21PM";"No description for this concert.";"Jeff Hoffman Tribute To Chuck Berry"
"https://www.parisjazzclub.net/en/67376/concert/2020/02/16/megaswing";"https://www.parisjazzclub.net/medias/concerts/67376-megaswing/images/megaswing-lg.jpg?20200103153812";"16-02-2020";"21PM";"No description for this concert.";"Megaswing"
"https://www.parisjazzclub.net/en/67388/concert/2020/02/17/david-blenkhorn-invite-david-torkanowsky";"https://www.parisjazzclub.net/medias/concerts/67388-david-blenkhorn-invite-david-torkanowsky/images/david-blenkhorn-invite-david-torkanowsky-lg.jpg?20200103154940";"17-02-2020";"21PM";"No description for this concert.";"David Blenkhorn Feat David Torkanowsky"
